🗼港澳台,#genre#
CCTV-5体育,http://hbrx.chinashadt.com:1936/live/5.stream/playlist.m3u8
CCTV-5体育,http://123.6.9.146/live/jz-cctv-5/live.m3u8
CCTV-6电影,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-6H265_hls_pull_4000K_live.m3u8
CCTV-6电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225779/1.m3u8
CCTV-6电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226394/1.m3u8
CCTV-6电影,http://123.6.9.146/live/jz-cctv-6/live.m3u8
CCTV-7国防军事,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-7H265_hls_pull_4000K_live.m3u8
CCTV-7国防军事,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225778/1.m3u8
CCTV-7国防军事,http://123.6.9.146/live/jz-cctv-7/live.m3u8
CCTV-8电视剧,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-8H265_hls_pull_4000K_live.m3u8
CCTV-8电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225759/1.m3u8
CCTV-8电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226407/1.m3u8
CCTV-8电视剧,http://hbry.chinashadt.com:1938/live/1002.stream_360p/playlist.m3u8
CCTV-9纪录,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-9H265_hls_pull_4000K_live.m3u8
CCTV-9纪录,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225758/1.m3u8
CCTV-9纪录,http://123.6.9.146/live/jz-cctv-9/live.m3u8
CCTV-10科教,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-10H265_hls_pull_4000K_live.m3u8
CCTV-10科教,http://123.6.9.146/live/jz-cctv-10/live.m3u8
CCTV-10科教,http://hbwq.chinashadt.com:2035/live/stream:cctv10.stream/playlist.m3u8
CCTV-11戏曲,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-11H265_hls_pull_4000K_live.m3u8
CCTV-11戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225776/1.m3u8
CCTV-11戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV-12社会与法,http://121.51.249.30/livehkkp.chinamcache.com/live/8ne5i_sccn,CCTV-12H265_hls_pull_4000K_live.m3u8
CCTV-12社会与法,http://111.40.196.9/PLTV/88888888/224/3221225498/index.m3u8
CCTV-12社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225775/1.m3u8
CCTV-12社会与法,http://123.6.9.146/live/jz-cctv-12/live.m3u8
CCTV-13新闻,https://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv13_2/index.m3u8
